delude, antique, Pergamon, directory, integrate, pectoral, wiener, inconstant, quack, slob, elliptic, architect, trainmen, Richardson, Johnsen, pot, brethren, slick, Kankakee, pairwise, Bruckner, accrual, Scotland, sewerage, dermatology, obsessive, Columbia, eschew, carport, preparation, Seneca, ropy, Roseland, frog, playa, handicraftsman, linoleic, scorpion, trill, migrate
89 : 71 | 63 | 19 | 43 | debauch | stablemen | solo | actinic | gregarious | immigrant | monologue | 84 | 24 | abandon | 11 | easy | 72 | transgressor | escritoire | mortgage | 13 | 5 | 15 | 37 | FBI | depend | 80 | Healey | 82 | 60 | conifer | 35 | 65 | 70 | halide | dump | pup | 67 | 7
4 : huzzah | eight | 61 | amino | 15 | Yankee | 82 | 14 | 51 | 82 | 6 | 9 | 27 | mynah | 97 | 21 | 93 | 94 | 17 | soviet | Apocrypha | 30 | Clytemnestra | endorse | Lubbock | 87 | 45 | galvanometer | 50 | 85 | 76 | 82 | 20 | 14 | 10 | 90 | 67 | varnish | 54
59 : 47 | Vreeland | 51 | 40 | 74 | 29 | 2 | 46 | inflow | 3 | 66 | 4 | 39 | sword | spout | 83 | 15 | 94 | slavery | 16 | osmosis | 49 | Tutenkhamon | 42 | 50 | 97 | emotion | 73 | 46 | glycol | fuss | 91 | 38 | 62 | atrophic | billy | nolo | impedance | 26
empathy : 93 | 81 | 66 | xylophone | 8 | 94 | 78 | sapphire | beastie | par | 28 | behalf | 77 | 85 | 13 | 17 | 50 | 48 | headwater | 42 | 2 | saunter | 34 | 72 | 29 | trim | 60 | 89 | 44 | 45 | 20 | upstream | cobalt | suspension | 37 | equipping | 76 | 13 | 1
42 : 68 | 70 | 26 | 66 | bitterroot | pontificate | fanout | 11 | 85 | 12 | 16 | synonymous | Brookhaven | 51 | 50 | 48 | 62 | 88 | mode | 77 | innumerable | 68 | chromosphere | adaptation | coquina | 66 | 48 | 2 | murre | 19 | beriberi | 53 | seasonal | 38 | 4 | 68 | motherland | 97 | 6
jean : orgasm | 26 | 73 | 26 | 68 | Beaumont | offend | 94 | implementor | 91 | 36 | 81 | slake | 32 | Bonnie | 22 | panicky | 65 | 85 | 80 | wheelbarrow | 18 | 55 | 76 | 41 | max | 16 | 54 | 31 | 64 | 55 | 99 | 14 | Sweeney | 8 | model | 7 | 15 | quark
mood : adverbial | synchronous | 78 | it'd | 88 | 77 | probosces | 69 | gilt | 53 | Berniece | 39 | 78 | 10 | 99 | airfare | Canadian | 93 | dye | 63 | 1 | Cecil | organdy | 28 | 67 | coeducation | 52 | 44 | squint | 88 | 18 | 11 | 5 | 81 | 46 | export | hail | 89 | doltish
20 : Wheatstone | Midwest | 50 | atmosphere | 15 | Siberia | 29 | affront | 26 | 5 | thirsty | 34 | 90 | tularemia | 6 | 96 | beguile | 37 | 55 | 16 | omicron | 32 | 54 | 3 | 6 | 21 | 56 | 38 | 37 | Hindu | 19 | taken | 27 | 97 | chromatogram | 23 | 15 | Bonneville | 28
ideology : 79 | Pleiades | 80 | 47 | 42 | 96 | 61 | 88 | aphasic | orthodontic | 44 | nil | Wallace | deadlock | 72 | 82 | 21 | 68 | 91 | 78 | polyploidy | 35 | poach | 96 | 1 | cayenne | 48 | 63 | barnyard | 81 | allusion | awaken | pullover | 26 | defy | blight | 79 | fury | 31
19 : ascii | 99 | 64 | 54 | 49 | interlude | 64 | 69 | 69 | 30 | 50 | 29 | 18 | samovar | 94 | comic | 74 | 70 | sag | dysentery | pitfall | 46 | quince | abrade | 0 | 60 | attune | 93 | duty | aural | 35 | yacht | 45 | 40 | 80 | 45 | longwinded | inexplicable | 95
59 : concise | 50 | 37 | 34 | mayonnaise | 87 | 66 | clergy | 57 | 71 | 91 | 71 | choreograph | compound | 29 | 0 | 22 | 8 | 50 | abase | 39 | 24 | Greensboro | 70 | 7 | 78 | alb | 7 | expense | 85 | 12 | circumscribe | 82 | 24 | 4 | 40 | 48 | 28 | Palo
87 : 15 | 3 | 90 | 16 | 72 | 70 | 24 | 64 | 12 | 74 | Kalamazoo | 32 | 70 | 68 | 61 | 81 | 12 | 10 | entire | oft | grassy | 6 | 10 | cuprous | 25 | 95 | 26 | 57 | 41 | 81 | Memphis | 81 | chimeric | 23 | lilt | cosmopolitan | 41 | 87 | 7
petrology : weave | Bess | halve | perfume | assiduity | 34 | 46 | pulp | 49 | 26 | proxy | 36 | homeowner | 94 | 45 | empower | 72 | 4 | 9 | cheek | herpetology | 96 | 40 | impure | typographer | 79 | iodate | 30 | 45 | intrinsic | 49 | chopstick | 72 | 87 | 56 | 91 | shortfall | micron | smitten
cry : 86 | 63 | peculiar | currant | identify | 38 | demiscible | 37 | 4 | 36 | wiggly | 51 | 56 | 71 | 93 | 52 | 57 | 91 | finitude | Lamarck | 63 | Heckman | 20 | 3 | 17 | 95 | 40 | 48 | delve | shelter | 56 | stenography | 53 | hereinabove | 0 | 1 | 61 | towel | 9
swore : bunk | 88 | 32 | knuckle | stammer | rennet | 22 | 55 | forensic | beauteous | catalytic | shore | 71 | James | 8 | 34 | 69 | eastbound | else | 73 | 72 | 11 | 73 | rubidium | alarm | 38 | 22 | excursus | 96 | 86 | 13 | 98 | 37 | Boise | 62 | Goren | Nouakchott | 87 | 57
48 : 96 | 51 | 10 | 45 | conflagrate | cloudy | archetypical | instill | 80 | Rosenthal | 64 | Glenda | cervix | husbandman | 69 | 32 | 88 | 48 | exhumation | 90 | 6 | Sheppard | Linton | 12 | fascism | schoolboy | 17 | flan | 94 | 93 | denude | detractor | 55 | 88 | pull | 19 | 77 | 75 | fay
sinh : 17 | teaspoonful | 16 | 66 | 85 | demonstrate | belove | Flagler | irrevocable | 80 | 26 | Colette | 52 | 64 | 11 | Fermi | 52 | eureka | craft | Luzon | aberrate | 68 | carpetbagging | 2 | 0 | tapis | 32 | 70 | headland | 78 | 16 | 21 | 9 | wicket | 44 | 72 | theme | Hershel | 21
57 : 54 | sa | detain | overt | 42 | nuance | Crockett | 63 | teletypesetting | Middlebury | 68 | 32 | Italy | 79 | 84 | brae | 46 | 36 | 33 | 24 | 94 | 95 | washout | butyric | 56 | 40 | Triplett | patriarch | 53 | dramatic | Kilgore | whittle | phalanges | near | 91 | 72 | 1 | 84 | 4
Bosporus : 5 | Hewitt | 67 | 55 | 94 | 64 | 70 | legal | 87 | 40 | install | 80 | 61 | 88 | 10 | 72 | 37 | infusion | wow | 54 | 13 | 58 | 87 | 53 | 84 | beg | 92 | faience | 57 | 63 | county | 64 | 86 | 57 | 39 | 40 | 52 | 99 | 32
sportsman : 76 | 26 | 85 | 7 | careful | glyph | 71 | 67 | scrotum | 73 | 18 | denouement | 30 | 37 | welsh | 95 | congestion | 41 | 73 | 70 | 14 | 1 | populism | 97 | 48 | 4 | 69 | bring | oxide | gentile | 36 | sidecar | carousel | 3 | Raritan | 10 | everywhere | reprehensible | Amos
44 : 74 | 8 | Savoyard | 9 | Rhea | 63 | similitude | 99 | 16 | eventide | 58 | 44 | 55 | 11 | 62 | Parsi | hieratic | Christiana | 94 | Costello | 43 | persecutory | Eastland | dun | 65 | 93 | 88 | 15 | horsewoman | 45 | 53 | brewery | preparator | there | 23 | 72 | 65 | 68 | monkey
12 : showroom | 99 | neonate | 78 | 9 | Muzak | 98 | 66 | 1 | fuzzy | 63 | 60 | gibbon | 92 | 3 | 54 | tedium | capricious | entomology | 67 | 94 | stamp | technetium | 15 | 14 | 45 | 48 | anachronism | 34 | 55 | merchant | 44 | 10 | 73 | neuromuscular | veracious | 73 | 0 | 97
1 : Hawkins | 58 | 36 | sawyer | 24 | 99 | 50 | interception | 86 | 82 | 24 | hilt | cathode | 87 | 14 | Magdalene | 57 | lighthouse | 69 | first | 31 | plowmen | 35 | 63 | 55 | 39 | 57 | fatty | 45 | 87 | whore | 46 | Carruthers | astute | geranium | 88 | brick | interdict | 10
69 : mesa | 3 | 34 | 10 | 27 | 26 | twain | 87 | 75 | 98 | g | quantile | melodic | McCall | functor | polopony | umbrella | 58 | 73 | 29 | tate | 76 | 36 | 0 | hooligan | 62 | slope | 85 | 23 | 62 | 58 | Duma | butyric | 78 | 9 | 69 | eruption | 76 | decay
you've : 32 | 9 | 30 | juggle | 8 | evocable | 15 | strewn | 22 | confine | 14 | 41 | diplomatic | 9 | 71 | 91 | 75 | arboreal | 99 | 43 | diffusion | 46 | 83 | 97 | 68 | 36 | xi | 29 | judiciary | idiosyncratic | 23 | strafe | 10 | enigma | crabapple | 48 | 91 | 13 | stamen
Miguel : 50 | staphylococcus | expound | strengthen | Wightman | 32 | hang | 44 | morel | 68 | vain | 22 | 5 | 95 | 11 | Monday | 69 | 21 | 96 | chartroom | 51 | Laotian | orthodontic | andesite | 45 | 32 | 60 | 70 | successful | 72 | retaliate | elm | fugitive | Cupid | 86 | procedural | trig | Cameroun | 17
latitude : 67 | 22 | 15 | catnip | piggy | Whalen | 23 | 54 | 49 | 47 | 7 | 64 | stearic | 36 | 1 | huddle | 3 | hardboard | peaceable | 44 | 31 | frost | 62 | 40 | trivalent | 45 | strange | 97 | 15 | 63 | champion | 15 | denial | 17 | 23 | syringa | peahen | Addressograph | chamfer
29 : 20 | drippy | pig | baggy | 86 | 68 | 16 | thyself | 28 | 11 | Donahue | 7 | 6 | mucosa | 55 | 51 | 49 | 66 | 49 | incommutable | gaucherie | 92 | sanctify | 84 | 37 | 62 | 28 | 23 | 87 | 74 | USPS | 91 | spunky | 93 | 0 | 41 | mutuel | 19 | delicious
Swarthmore : 17 | 62 | 89 | abduct | ontogeny | 12 | 43 | prone | 79 | ordeal | steam | 70 | 66 | 39 | pellucid | 16 | 42 | 63 | habitual | 51 | 26 | bizarre | 19 | 90 | 67 | 72 | 11 | byway | 19 | 89 | directorate | spill | roost | 85 | chamber | 38 | 84 | 35 | locomote
digress : termite | 26 | 58 | Goren | 83 | 39 | 77 | 83 | inveigh | 32 | 29 | 93 | Honduras | 45 | chipboard | German | amanita | assign | 69 | 68 | 24 | Sandra | Avery | 93 | real | Barry | 3 | 68 | 47 | aggressor | occlusive | psychobiology | 72 | 44 | 79 | Dallas | 60 | Hillel | remorseful
city : 3 | tamale | Wyman | 9 | 70 | aile | stub | Blackfeet | switchblade | penurious | 37 | 53 | spectroscopy | blip | 88 | Ulster | erosive | icebox | 73 | sawfly | SW | racial | vetch | 41 | aren't | 28 | 18 | Persephone | 72 | 77 | 40 | coven | 15 | eccentric | jumble | 11 | Osgood | 83 | 4
citron : hailstorm | 54 | gelable | 16 | 34 | vestal | 35 | 47 | 32 | Shakespearian | caramel | 85 | testy | 98 | 75 | 8 | 77 | purgative | PM | 41 | nitrite | 86 | Wisconsin | 55 | instinctual | 17 | oblate | 50 | interval | lone | 40 | 68 | Cortland | 77 | 92 | dioxide | keddah | 20 | Alcestis
wildcatter : 90 | switchback | 26 | 64 | 48 | Brenda | network | 84 | 97 | 97 | aflame | picturesque | bandstand | festival | consortium | 25 | 42 | handicapped | 95 | pardon | 54 | 48 | hank | Jewett | bauxite | amphibian | manure | 75 | 61 | 34 | 93 | 73 | roulette | 69 | 95 | 85 | 37 | 52 | 20
23 : me | entourage | gatekeeper | 60 | 89 | vertebra | 77 | casebook | emphysema | 83 | finitude | 62 | 7 | 48 | 48 | 9 | 98 | 32 | parasol | Manley | crux | 76 | 18 | 9 | 29 | 63 | 28 | 27 | 50 | 10 | 3 | Silverman | 5 | 44 | cannel | jurisprudential | 74 | 46 | 56
47 : Manley | 48 | Nguyen | 74 | 66 | 98 | 86 | 24 | 94 | 64 | distinct | 53 | 74 | 63 | 69 | significant | betide | papacy | 15 | torus | 83 | hour | admissible | 87 | wakeful | 23 | sladang | hem | Manila | considerate | Hanna | 62 | malformation | Algiers | 88 | 0 | 20 | sojourn | 34
swami : 76 | winemaster | 1 | initiate | 0 | 68 | 53 | potentiometer | bate | transmittal | contrariety | 54 | Ephesian | 80 | gaseous | 78 | Algonquian | 16 | 26 | fist | gerundive | farewell | 0 | 39 | anything | Christensen | 60 | 14 | debugged | 30 | 11 | scramble | 10 | 57 | 64 | 25 | sarsparilla | 55 | 12
58 : 10 | 37 | mercy | 19 | 27 | Oppenheimer | 91 | 19 | 73 | Lissajous | 24 | argon | 4 | boom | Pierson | Creon | haulage | bilk | gentleman | 16 | bastion | 98 | 33 | Paleolithic | 26 | 35 | telescope | Fairport | 42 | 70 | 84 | 97 | slope | 92 | 71 | satisfactory | 56 | dangle | 71
46 : bait | 24 | 31 | 92 | 66 | exhumation | Han | 2 | 4 | despot | 23 | 56 | 58 | animadvert | 37 | snazzy | 70 | accumulate | 51 | 37 | backwood | 81 | 19 | 9 | 26 | 93 | 93 | quintillion | 45 | ducat | cowbird | leap | gerbil | 37 | 40 | 26 | Robert | 82 | 96
25 : constituent | Albuquerque | transitory | 7 | 19 | fine | 4 | 24 | 54 | 55 | trammel | immobile | 36 | elusive | 79 | 82 | 48 | 24 | 93 | 55 | 99 | 56 | 92 | Fran | 24 | 68 | Aquinas | 25 | 81 | octahedra | 19 | grandstand | 6 | 78 | 68 | bask | Actaeon | sebaceous | 89
acquaintance : tilth | 1 | 85 | 94 | immobility | gubernatorial | 13 | fungicide | 90 | 18 | 31 | 31 | 7 | 74 | 70 | 58 | 22 | imp | Gina | Mathieu | 13 | 96 | approximant | Honduras | Ida | pathos | cherubim | 17 | 90 | 7 | masterpiece | Cajun | 90 | Capetown | 46 | 35 | 3 | viburnum | arrogant
40 : adjectival | 30 | foolhardy | 37 | 60 | 9 | 44 | 27 | 8 | Callaghan | 42 | thresh | 93 | 11 | 26 | 75 | 83 | 66 | 83 | 58 | kodak | 63 | 55 | 21 | 65 | 83 | 52 | 19 | 50 | 57 | livid | 30 | helix | 1 | 88 | Appleton | 92 | 17 | 57
25 : 97 | 33 | plugging | 74 | empower | 98 | 77 | chiefdom | 99 | 54 | heave | coffin | Anabaptist | o'er | eureka | 45 | 35 | 22 | 96 | 24 | 95 | 94 | 46 | 15 | convict | 94 | 50 | Jeres | obsess | 87 | sulk | wound | 61 | 45 | occurrent | crumple | susceptance | 59 | pummel
17 : 65 | 14 | Goldberg | 27 | Leopold | 23 | 29 | rave | confidante | 7 | 82 | 78 | 14 | 26 | 5 | 69 | 12 | 23 | 30 | 48 | 36 | 70 | 77 | 75 | i | 18 | 85 | 82 | prince | 30 | 64 | 0 | 16 | nitric | 97 | 28 | valeur | 66 | 64
Cambodia : 82 | gryphon | 2 | 89 | 28 | 32 | 27 | Bromfield | Sheraton | lingua | cadent | 52 | citation | 65 | 11 | Gunderson | 51 | 39 | plus | hominid | 48 | pentagon | 84 | 84 | 26 | 95 | 43 | cumulus | 81 | 87 | 47 | 93 | Spain | 99 | uremia | 78 | irresistible | 40 | concertina
83 : 55 | 61 | 73 | wysiwyg | 56 | 33 | tory | 67 | Libya | olden | 62 | yesterday | 64 | preparator | metamorphose | 49 | 52 | 77 | emphatic | 69 | 62 | biplane | 85 | 18 | deregulate | children | plumbago | mass | knob | 73 | Filipino | 84 | 27 | gallows | ABA | 27 | 59 | 21 | 46
21 : 55 | 7 | 51 | install | Bess | 71 | 16 | dice | Fizeau | 50 | collar | surefire | 1 | tristate | splotch | 32 | cavalcade | 98 | 75 | 87 | 68 | Europa | 97 | 96 | 1 | leviathan | 33 | 25 | flagrant | 56 | lutanist | 62 | fantod | 57 | tugboat | 83 | 79 | Bernard | 87
56 : 68 | 62 | 98 | 22 | 75 | Linton | 17 | floor | 86 | 78 | 1 | 46 | drudge | 80 | Maya | 81 | 28 | 76 | supposable | 59 | 96 | Walcott | 61 | 75 | carnival | 66 | combinatorial | 85 | 96 | 61 | steep | rationale | 59 | smelly | 15 | loathe | 71 | 23 | Brillouin
81 : mysterious | ankle | douce | 14 | monastery | Geiger | 52 | 25 | 40 | 29 | 85 | Blackwell | grindstone | 75 | uncle | tangential | 55 | stoop | Panamanian | 84 | geyser | 98 | 99 | prophet | 97 | virtuous | 33 | 75 | ferocity | 40 | imminent | 90 | impressive | 49 | 86 | 80 | supervisory | 5 | inimical
79 : sepulchral | 64 | 30 | duckweed | circular | 42 | 58 | 4 | randy | 98 | Thebes | coprocessor | 14 | chopstick | 71 | 23 | playroom | 9 | autograph | Ruth | 7 | FPC | guesswork | 39 | 28 | 56 | 92 | dilatation | contradict | 93 | Lemuel | 86 | 73 | 99 | 68 | 35 | hexagonal | Nantucket | 1
Wichita : 40 | 94 | Hitchcock | infect | 77 | Trichinella | Posner | hallucinatory | tizzy | 42 | 47 | 76 | 16 | 97 | 65 | 69 | demurring | 42 | infrared | 23 | 87 | 6 | 82 | 33 | 59 | acetate | synchrony | 39 | 39 | 96 | 83 | 24 | 22 | smooch | 24 | Thalia | impulse | conciliatory | switchboard
24 : 89 | 73 | immiscible | UK | 15 | europium | conformation | Dacca | printout | gonad | McMillan | 6 | 36 | 29 | megalopolis | 57 | 57 | 6 | 96 | cheekbone | mood | 5 | 39 | 77 | 96 | 47 | 52 | obsidian | 74 | 56 | flagpole | 3 | 93 | Gorky | 4 | 19 | 68 | Smalley | 17
87 : 46 | sheik | 60 | pentagon | tong | 21 | 79 | 4 | Somers | hubby | 78 | 92 | befog | coextensive | covariant | chattel | 46 | 93 | 89 | 80 | 96 | 31 | 7 | cyanate | 45 | 97 | pattern | 88 | 74 | 39 | gibe | conquer | 1 | diety | 87 | textbook | 21 | expedite | mossy
32 : 58 | straw | sidewinder | 38 | 14 | tenor | 1 | panacea | 63 | dispersal | 9 | desolate | 83 | opposite | 37 | 58 | 41 | Hyde | 12 | 70 | 2 | 23 | 15 | 87 | 43 | 6 | manifesto | book | 94 | 40 | 76 | 66 | etiology | 26 | grandfather | Bruno | 63 | 66 | 0
conduce : 92 | Canberra | 6 | Niagara | 9 | 38 | 12 | 81 | 30 | 28 | canal | Sacramento | booth | 47 | striate | carne | 71 | 94 | 74 | elm | 39 | ancient | transcript | trickery | disyllable | 25 | 81 | backboard | 31 | mess | 39 | 32 | NBS | m's | 55 | phoenix | 86 | 9 | 14
rink : 20 | 47 | admiration | 24 | Faustus | 95 | 84 | 48 | 74 | 42 | plunk | 71 | 92 | 41 | red | falloff | 65 | 7 | nautical | Cain | 35 | 64 | pinnacle | 84 | 56 | 20 | vociferous | 51 | 43 | resignation | 79 | 10 | fibrous | 20 | 64 | 49 | 43 | 17 | Adkins
72 : 75 | Drury | 61 | 65 | Courtney | bump | you'd | 60 | 66 | pave | 49 | 67 | 34 | 49 | 82 | 50 | 62 | 45 | 40 | 26 | Babcock | 65 | freak | 21 | 35 | 63 | 16 | banshee | 15 | cinnabar | 32 | 65 | 16 | 98 | 96 | 65 | usurp | 96 | 13
43 : corporeal | thrips | leghorn | Katherine | Urdu | 2 | 76 | 34 | declivity | halide | extensor | delirious | 11 | swordfish | 82 | Hilbert | 30 | carry | 67 | believe | 72 | 4 | bleak | 33 | 57 | 86 | 39 | misogynist | 78 | 36 | heart | 53 | raw | Olduvai | 6 | 21 | 8 | sightsee | Thayer
10 : tinsel | 89 | 56 | 26 | gantry | Middletown | 58 | 26 | 13 | 59 | newline | Motorola | Gustave | 3 | Poole | nemesis | 45 | 53 | Pasadena | 88 | aborigine | checksummed | Drury | 60 | 64 | tift | 62 | Nestor | 25 | 38 | 70 | 13 | 41 | 10 | 35 | impassive | Hoff | Neumann | Knoxville
3 : rid | 31 | variac | tundra | 45 | 95 | dyad | 45 | 46 | utopian | sacrilegious | octahedral | 6 | 92 | olfactory | 47 | 90 | homebound | 64 | 49 | constrict | Corcoran | 44 | Canis | 17 | 95 | cagey | gingham | curse | infra | 88 | 36 | 59 | 86 | groundwork | swift | 26 | greenware | 91
2 : covariate | 14 | 75 | 75 | Irishman | swingable | 69 | directrices | 73 | mange | 72 | 42 | harken | 60 | 58 | 31 | syllogistic | cox | cunning | 56 | 96 | gregarious | applicate | 91 | case | Petersen | 6 | Jorgenson | Spaulding | deposit | 88 | stumpage | 83 | 23 | glucose | 49 | 13 | bromide | 63
15 : 33 | 9 | said | 92 | polytechnic | 51 | 14 | sag | mortem | 6 | s | 64 | 8 | 86 | 62 | acceptor | 0 | pitiable | 76 | destitute | virtuous | 1 | 76 | 93 | 17 | 44 | 73 | 61 | 57 | bald | 48 | Lou | 64 | 76 | homebound | coed | 23 | tow | Kent
71 : blowup | 28 | 87 | 23 | custody | 23 | execute | 44 | 20 | 61 | 52 | 32 | 60 | confidential | 9 | precipitate | 84 | dreamy | 41 | Corinth | chancery | 35 | 28 | 44 | mete | Cameron | 72 | factual | gibberellin | levitate | 78 | sneaky | 10 | 30 | 41 | 95 | 32 | 7 | flu
28 : Hutchison | insipid | 99 | 72 | 6 | 87 | 83 | 16 | 12 | leitmotiv | rainfall | 44 | vetch | 87 | 52 | crack | 26 | gregarious | 39 | 96 | 42 | 7 | pall | protein | Littleton | 6 | bestirring | deplore | 73 | 81 | response | 53 | Fredrickson | heroic | columnar | 24 | windfall | townsmen | 67
26 : conifer | 90 | improvisate | Orkney | 89 | tenement | bedim | occlusive | 1 | Bator | synchrony | 2 | 53 | 54 | 89 | 36 | 92 | 5 | 10 | 81 | 34 | Acton | ace | 35 | 60 | hydronium | 51 | incise | madhouse | prestigious | 46 | 90 | aphid | sparkle | 7 | 88 | Colosseum | 40 | Edward
88 : 77 | 51 | 1 | watercress | culvert | yapping | 81 | 32 | awhile | Burt | claw | 23 | fishy | 14 | 78 | knowledge | 45 | aspen | 39 | licensable | 22 | persist | 4 | 30 | 57 | 61 | 66 | 66 | 85 | 50 | ignoramus | generic | 28 | cutset | 19 | lotus | lowdown | 20 | 25
bear : hostelry | 66 | 15 | 71 | 57 | 10 | 73 | 52 | captaincy | 91 | 62 | 7 | silicon | 84 | 16 | 22 | 33 | schema | 34 | 60 | 58 | stigma | 87 | 53 | ketchup | 88 | 39 | 77 | conductance | 29 | 87 | 6 | caper | 92 | Lana | 17 | 71 | pollute | 28
78 : buck | 5 | sure | 88 | 59 | compendia | 11 | 23 | 95 | steady | Isaac | 88 | 9 | grandchild | 12 | 99 | 61 | 60 | asplenium | 47 | 90 | 34 | diamagnetism | 31 | 28 | helm | sunburnt | 99 | 0 | Bunsen | 98 | ameliorate | preventive | 8 | 81 | 50 | 54 | vitrify | cookbook
48 : psychotherapist | 57 | 28 | sluice | crotch | 77 | 78 | 43 | 0 | ludicrous | 68 | 9 | infinitive | controversial | 34 | 32 | 34 | trustee | artful | Canaan | 55 | Shockley | 59 | dormitory | 54 | Missouri | 69 | sixty | Bert | 54 | 78 | greyhound | wardroom | 21 | 31 | yield | powerhouse | Ghanian | 23
95 : dowager | programmatic | 13 | mahogany | 6 | forborne | 2 | Dusenberg | 36 | 36 | delete | chiefdom | 49 | 43 | freeload | 32 | gluten | 88 | 60 | infirm | ephemeris | 37 | 75 | birdcage | intractable | 95 | 56 | 21 | 1 | 92 | ammunition | immigrate | 29 | sarcasm | valet | 11 | 69 | 15 | shepherdess
skiddy : 15 | 85 | associable | 2 | 43 | sum | 80 | 83 | 41 | mastiff | 60 | 58 | lyrebird | 87 | 27 | 16 | 35 | 70 | Alicia | 13 | 59 | arctic | 41 | 69 | compression | inadequacy | 29 | 61 | Templeton | 84 | 20 | 40 | 61 | aesthete | Slavic | 42 | clement | 64 | populist
bun : homeowner | 9 | llama | 98 | 23 | 29 | 41 | 74 | 23 | 3 | cretin | 26 | 69 | 70 | 30 | costume | 99 | irate | Tektronix | 78 | 21 | zero | epistemology | 33 | footpath | takeover | 25 | 54 | 90 | bylaw | 88 | 44 | 10 | begat | rattlesnake | alluvial | 64 | 18 | bicep
putative : 33 | 62 | 65 | 75 | episode | 7 | 45 | 24 | 67 | 46 | 28 | 34 | Lausanne | 39 | soignee | decline | 95 | thorn | slang | hydrostatic | 13 | Sextans | retrofitting | Shreveport | shard | 74 | Heublein | 43 | main | Hebrides | earnest | Orleans | Cygnus | 29 | 56 | 27 | Cardiff | 12 | 1
26 : 44 | 4 | beggary | migratory | 21 | 10 | thimbleful | sociometry | Vernon | 51 | debit | 70 | 86 | 25 | strewn | rheostat | 11 | 48 | corps | 75 | 21 | 31 | 37 | 43 | 50 | quixotic | 54 | line | barefoot | lifeguard | inclement | 60 | 24 | 85 | 50 | alba | 42 | 45 | 58
7 : 75 | 31 | torpid | 2 | 73 | Elisha | picket | 94 | 98 | x | 82 | 89 | wherefore | arctic | deoxyribose | hermit | 73 | blacktop | 20 | 15 | haiku | 97 | 85 | Paine | industrial | 30 | 23 | 88 | 7 | 4 | degum | 59 | 40 | 87 | metal | bile | 60 | 50 | Gemma
94 : foxhound | jejunum | multiplicity | eventual | isotherm | 78 | break | lepidolite | 37 | 87 | Emory | 51 | 76 | 94 | notice | 23 | 27 | 92 | Kidde | 18 | freewheel | 37 | 53 | 77 | whole | industry | streetcar | 94 | account | 67 | 27 | 79 | disposable | 89 | cranky | walnut | 92 | 34 | 34
Boswell : 49 | 17 | Colette | 29 | 72 | aura | eigenvector | incubus | 91 | 84 | 21 | 32 | 91 | illiteracy | Roberto | 14 | 22 | 43 | beriberi | 58 | 74 | sigma | 91 | freshmen | laxative | 83 | 23 | 43 | 16 | corrosion | 38 | Blackstone | 74 | 87 | bootleg | package | 59 | 16 | 78
effusive : 85 | stag | 48 | 24 | 1 | Chrysler | polygon | Istvan | 84 | 4 | 62 | raid | Archimedes | offhand | rhinoceros | she'd | 96 | 16 | shelf | weekday | 14 | 50 | compilation | brandywine | pulsar | viscous | warrant | 33 | 88 | 15 | 30 | darn | clotheshorse | simultaneous | 94 | 73 | 30 | 77 | commonality
42 : 71 | 92 | ammeter | 12 | chieftain | extrinsic | 63 | 35 | 26 | 55 | 60 | 45 | 60 | 54 | 77 | 0 | Dubhe | manumission | 48 | 53 | delete | time | 10 | 12 | 44 | 18 | 5 | 3 | 65 | 10 | contort | imponderable | Pocono | 85 | 10 | pendulous | 85 | 84 | 53
61 : Juanita | 5 | throughout | gentry | molest | 24 | 65 | rudiment | Lebanon | politico | 13 | whereby | 73 | 49 | 65 | 17 | 11 | Abelson | 27 | Egyptian | coverall | drizzly | oersted | Eurasia | 48 | 75 | 34 | hexagonal | brocade | 90 | skimp | 10 | 96 | lumbar | straighten | upswing | swishy | thwart | 42
onrush : Brandon | derail | 64 | 30 | 60 | 3 | 82 | hunk | maser | 46 | 55 | Patterson | 98 | 47 | logistic | lush | logician | 81 | 86 | 72 | 71 | spacesuit | Hyannis | trichloroacetic | Pentecost | 26 | 96 | 19 | 75 | 75 | 74 | backtrack | 79 | mesenteric | usurious | 72 | 36 | 91 | 27
